genre,year,movie_name,worlwide_gross_income,movie_rank
Drama,2017,"Shatamanam Bhavati","INR 530500000",1
Drama,2017,Winner,"INR 250000000",2
Drama,2017,"Thank You for Your Service","$ 9995692",3
Drama,2017,"The Healer","$ 9979800",4
Comedy,2017,"The Healer","$ 9979800",4
Thriller,2018,"The Villain","INR 1300000000",1
Drama,2018,"Antony & Cleopatra","$ 998079",2
Comedy,2018,"La fuitina sbagliata","$ 992070",3
Drama,2018,Zaba,"$ 991",4
Comedy,2018,Gung-hab,"$ 9899017",5
Thriller,2019,Prescience,"$ 9956",1
Thriller,2019,Joker,"$ 995064593",2
Drama,2019,Joker,"$ 995064593",2
Comedy,2019,"Eaten by Lions","$ 99276",4
Comedy,2019,"Friend Zone","$ 9894885",5
